"","MSZoning","Neighborhood","BldgType","HouseStyle","OverallQual","YearBuilt","YearRemodAdd","ExterQual","ExterCond","HeatingQC","CentralAir","X1stFlrSF","GrLivArea","FullBath","KitchenQual","GarageCars","SaleCondition","SalePrice","NHood","MSZone","BType","HStyle","SCond","KQual","ExQual","Cair","HQC","ECond","SalePrice.log","X1stFlrSF.log","GrLivArea.log"
"1","RL","CollgCr","1Fam","2Story",7,2003,2003,"Gd","TA","Ex","Y",856,1710,2,"Gd",2,"Normal",208500,4,4,3,4,5,3,3,1,5,3,12.247694320221,6.75227037614174,7.44424864949671
"2","RL","Veenker","1Fam","1Story",6,1976,1976,"TA","TA","Ex","Y",1262,1262,2,"TA",2,"Normal",181500,5,4,3,3,5,2,2,1,5,3,12.109010932687,7.14045304310116,7.14045304310116
"3","RL","CollgCr","1Fam","2Story",7,2001,2002,"Gd","TA","Ex","Y",920,1786,2,"Gd",2,"Normal",223500,4,4,3,4,5,3,3,1,5,3,12.3171666930358,6.82437367004309,7.48773376143644
"4","RL","Crawfor","1Fam","2Story",7,1915,1970,"TA","TA","Gd","Y",961,1717,1,"Gd",3,"Abnorml",140000,4,4,3,4,5,3,2,1,4,3,11.8493977015914,6.86797440897029,7.44833386089748
"5","RL","NoRidge","1Fam","2Story",8,2000,2000,"Gd","TA","Ex","Y",1145,2198,2,"Gd",3,"Normal",250000,6,4,3,4,5,3,3,1,5,3,12.4292161968444,7.04315991598834,7.69530313496357
"6","RL","Mitchel","1Fam","1.5Fin",5,1993,1995,"TA","TA","Ex","Y",796,1362,1,"TA",2,"Normal",143000,3,4,3,2,5,2,2,1,5,3,11.870599909242,6.67959918584438,7.21670948670946
"7","RL","Somerst","1Fam","1Story",8,2004,2005,"Gd","TA","Ex","Y",1694,1694,2,"Gd",2,"Normal",307000,5,4,3,3,5,3,3,1,5,3,12.6346030265693,7.434847875212,7.434847875212
"8","RL","NWAmes","1Fam","2Story",7,1973,1973,"TA","TA","Ex","Y",1107,2090,2,"TA",2,"Normal",200000,4,4,3,4,5,2,2,1,5,3,12.2060726455302,7.00940893270864,7.64491934495886
"9","RM","OldTown","1Fam","1.5Fin",7,1931,1950,"TA","TA","Gd","Y",1022,1774,2,"TA",2,"Abnorml",129900,2,2,3,2,5,2,2,1,4,3,11.7745202026587,6.92951677076365,7.48099216286952
"10","RL","BrkSide","2fmCon","1.5Unf",5,1939,1950,"TA","TA","Ex","Y",1077,1077,1,"TA",1,"Normal",118000,2,4,1,1,5,2,2,1,5,3,11.6784399034478,6.98193467715639,6.98193467715639
"11","RL","Sawyer","1Fam","1Story",5,1965,1965,"TA","TA","Ex","Y",1040,1040,1,"TA",1,"Normal",129500,3,4,3,3,5,2,2,1,5,3,11.7714361601217,6.94697599213542,6.94697599213542
"12","RL","NridgHt","1Fam","2Story",9,2005,2006,"Ex","TA","Ex","Y",1182,2324,3,"Ex",3,"Partial",345000,6,4,3,4,6,4,4,1,5,3,12.7512996960135,7.07496319796604,7.7510451179718
"13","RL","Sawyer","1Fam","1Story",5,1962,1962,"TA","TA","TA","Y",912,912,1,"TA",1,"Normal",144000,3,4,3,3,5,2,2,1,3,3,11.8775685785581,6.81563999007433,6.81563999007433
"14","RL","CollgCr","1Fam","1Story",7,2006,2007,"Gd","TA","Ex","Y",1494,1494,2,"Gd",3,"Partial",279500,4,4,3,3,6,3,3,1,5,3,12.5407575715773,7.30921236569276,7.30921236569276
"15","RL","NAmes","1Fam","1Story",6,1960,1960,"TA","TA","TA","Y",1253,1253,1,"TA",1,"Normal",157000,3,4,3,3,5,2,2,1,3,3,11.9640010843304,7.13329595489607,7.13329595489607
"16","RM","BrkSide","1Fam","1.5Unf",7,1929,2001,"TA","TA","Ex","Y",854,854,1,"TA",2,"Normal",132000,2,2,3,1,5,2,2,1,5,3,11.7905572015685,6.74993119378857,6.74993119378857
"17","RL","NAmes","1Fam","1Story",6,1970,1970,"TA","TA","Ex","Y",1004,1004,1,"TA",2,"Normal",149000,3,4,3,3,5,2,2,1,5,3,11.9117015849276,6.91174730025167,6.91174730025167
"18","RL","Sawyer","Duplex","1Story",4,1967,1967,"TA","TA","TA","Y",1296,1296,2,"TA",2,"Normal",90000,3,4,2,3,5,2,2,1,3,3,11.4075649493124,7.16703787691222,7.16703787691222
"19","RL","SawyerW","1Fam","1Story",5,2004,2004,"TA","TA","Ex","Y",1114,1114,1,"Gd",2,"Normal",159000,4,4,3,3,5,3,2,1,5,3,11.9766594812024,7.01571242048723,7.01571242048723
"20","RL","NAmes","1Fam","1Story",5,1958,1965,"TA","TA","TA","Y",1339,1339,1,"TA",1,"Abnorml",139000,3,4,3,3,5,2,2,1,3,3,11.8422292121128,7.19967834569117,7.19967834569117
"21","RL","NridgHt","1Fam","2Story",8,2005,2006,"Gd","TA","Ex","Y",1158,2376,3,"Gd",3,"Partial",325300,6,4,3,4,6,3,3,1,5,3,12.6925031124614,7.05444965813294,7.77317368048254
"22","RM","IDOTRR","1Fam","1.5Unf",7,1930,1950,"TA","TA","Ex","Y",1108,1108,1,"Gd",1,"Normal",139400,1,2,3,1,5,3,2,1,5,3,11.8451027773086,7.01031186730723,7.01031186730723
"23","RL","CollgCr","1Fam","1Story",8,2002,2002,"Gd","TA","Ex","Y",1795,1795,2,"Gd",2,"Normal",230000,4,4,3,3,5,3,3,1,5,3,12.3458345879053,7.49276030092238,7.49276030092238
"24","RM","MeadowV","TwnhsE","1Story",5,1976,1976,"TA","TA","TA","Y",1060,1060,1,"TA",2,"Normal",129900,1,2,3,3,5,2,2,1,3,3,11.7745202026587,6.96602418710611,6.96602418710611
"25","RL","Sawyer","1Fam","1Story",5,1968,2001,"TA","Gd","Ex","Y",1060,1060,1,"Gd",1,"Normal",154000,3,4,3,3,5,3,2,1,5,4,11.9447078813958,6.96602418710611,6.96602418710611
"26","RL","NridgHt","1Fam","1Story",8,2007,2007,"Gd","TA","Ex","Y",1600,1600,2,"Gd",3,"Normal",256300,6,4,3,3,5,3,3,1,5,3,12.4541039123522,7.37775890822787,7.37775890822787
"27","RL","NAmes","1Fam","1Story",5,1951,2000,"TA","TA","TA","Y",900,900,1,"Gd",2,"Normal",134800,3,4,3,3,5,3,2,1,3,3,11.8115474774603,6.80239476332431,6.80239476332431
"28","RL","NridgHt","1Fam","1Story",8,2007,2008,"Gd","TA","Ex","Y",1704,1704,2,"Gd",3,"Normal",306000,6,4,3,3,5,3,3,1,5,3,12.6313403809345,7.44073370738926,7.44073370738926
"29","RL","NAmes","1Fam","1Story",5,1957,1997,"TA","TA","TA","Y",1600,1600,1,"TA",1,"Normal",207500,3,4,3,3,5,2,2,1,3,3,12.2428866186529,7.37775890822787,7.37775890822787
"30","RM","BrkSide","1Fam","1Story",4,1927,1950,"TA","TA","Fa","N",520,520,1,"Fa",1,"Normal",68500,2,2,3,3,5,1,2,0,2,3,11.1345890242503,6.25382881157547,6.25382881157547
"31","C (all)","IDOTRR","1Fam","2Story",4,1920,1950,"TA","Fa","TA","N",649,1317,1,"TA",1,"Normal",40000,1,1,3,4,5,2,2,0,3,2,10.5966347330961,6.47543271670409,7.18311170174328
"32","RL","Sawyer","1Fam","1Story",5,1966,2006,"TA","TA","Gd","Y",1228,1228,1,"Gd",1,"Normal",149350,3,4,3,3,5,3,2,1,4,3,11.9140478236443,7.11314210870709,7.11314210870709
"33","RL","CollgCr","1Fam","1Story",8,2007,2007,"Gd","TA","Ex","Y",1234,1234,2,"Gd",2,"Normal",179900,4,4,3,3,5,3,3,1,5,3,12.1001564199386,7.11801620446533,7.11801620446533
"34","RL","NAmes","1Fam","1Story",5,1959,1959,"TA","TA","Gd","Y",1700,1700,1,"Gd",2,"Normal",165500,3,4,3,3,5,3,2,1,4,3,12.0167264737993,7.43838353004431,7.43838353004431
"35","RL","NridgHt","TwnhsE","1Story",9,2005,2005,"Ex","TA","Ex","Y",1561,1561,2,"Ex",2,"Normal",277500,6,4,3,3,5,4,4,1,5,3,12.5335762121686,7.35308192051543,7.35308192051543
"36","RL","NridgHt","1Fam","2Story",8,2004,2005,"Gd","TA","Ex","Y",1132,2452,3,"Gd",3,"Normal",309000,6,4,3,4,5,3,3,1,5,3,12.6410965558799,7.03174125876313,7.8046592970561
"37","RL","CollgCr","1Fam","1Story",5,1994,1995,"TA","TA","Ex","Y",1097,1097,1,"TA",2,"Normal",145000,4,4,3,3,5,2,2,1,5,3,11.8844890214027,7.00033446027523,7.00033446027523
"38","RL","NAmes","1Fam","1Story",5,1954,1990,"TA","TA","Gd","Y",1297,1297,1,"TA",2,"Normal",153000,3,4,3,3,5,2,2,1,4,3,11.9381932003746,7.16780918431644,7.16780918431644
"39","RL","NAmes","1Fam","1Story",5,1953,2007,"TA","Gd","TA","Y",1057,1057,1,"Gd",1,"Abnorml",109000,3,4,3,3,5,3,2,1,3,4,11.5991031612113,6.96318998587024,6.96318998587024
"40","RL","Edwards","Duplex","1Story",4,1955,1955,"TA","TA","TA","N",1152,1152,2,"Fa",0,"AdjLand",82000,2,4,2,3,1,1,2,0,3,3,11.3144745262464,7.04925484125584,7.04925484125584
"41","RL","NAmes","1Fam","1Story",6,1965,1965,"TA","TA","Ex","Y",1324,1324,2,"TA",2,"Abnorml",160000,3,4,3,3,5,2,2,1,5,3,11.982929094216,7.18841273649695,7.18841273649695
"42","RL","Timber","1Fam","1Story",5,1959,1959,"TA","Gd","Gd","Y",1328,1328,1,"TA",1,"Normal",170000,5,4,3,3,5,2,2,1,4,4,12.0435537160324,7.19142933003638,7.19142933003638
"43","RL","SawyerW","1Fam","SFoyer",5,1983,1983,"TA","TA","Gd","Y",884,884,1,"Gd",2,"Normal",144000,4,4,3,2,5,3,2,1,4,3,11.8775685785581,6.78445706263764,6.78445706263764
"44","RL","CollgCr","1Fam","1Story",5,1975,1980,"TA","TA","TA","Y",938,938,1,"TA",1,"Normal",130250,4,4,3,3,5,2,2,1,3,3,11.7772109596156,6.84374994900622,6.84374994900622
"45","RL","NAmes","1Fam","1Story",5,1959,1959,"TA","TA","Ex","Y",1150,1150,1,"TA",1,"Normal",141000,3,4,3,3,5,2,2,1,5,3,11.8565151693603,7.0475172213573,7.0475172213573
