"","OverallQual","YearBuilt","FullBath","GarageCars","NHood","MSZone","BType","HStyle","SCond","KQual","ExQual","HQC","X1stFlrSF.log","GrLivArea.log","SalePrice.log"
"1",7,2003,2,2,4,4,3,4,5,3,3,5,6.75227037614174,7.44424864949671,12.247694320221
"2",6,1976,2,2,5,4,3,3,5,2,2,5,7.14045304310116,7.14045304310116,12.109010932687
"3",7,2001,2,2,4,4,3,4,5,3,3,5,6.82437367004309,7.48773376143644,12.3171666930358
"4",7,1915,1,3,4,4,3,4,5,3,2,4,6.86797440897029,7.44833386089748,11.8493977015914
"5",8,2000,2,3,6,4,3,4,5,3,3,5,7.04315991598834,7.69530313496357,12.4292161968444
"6",5,1993,1,2,3,4,3,2,5,2,2,5,6.67959918584438,7.21670948670946,11.870599909242
"7",8,2004,2,2,5,4,3,3,5,3,3,5,7.434847875212,7.434847875212,12.6346030265693
"8",7,1973,2,2,4,4,3,4,5,2,2,5,7.00940893270864,7.64491934495886,12.2060726455302
"9",7,1931,2,2,2,2,3,2,5,2,2,4,6.92951677076365,7.48099216286952,11.7745202026587
"10",5,1939,1,1,2,4,1,1,5,2,2,5,6.98193467715639,6.98193467715639,11.6784399034478
"11",5,1965,1,1,3,4,3,3,5,2,2,5,6.94697599213542,6.94697599213542,11.7714361601217
"12",9,2005,3,3,6,4,3,4,6,4,4,5,7.07496319796604,7.7510451179718,12.7512996960135
"13",5,1962,1,1,3,4,3,3,5,2,2,3,6.81563999007433,6.81563999007433,11.8775685785581
"14",7,2006,2,3,4,4,3,3,6,3,3,5,7.30921236569276,7.30921236569276,12.5407575715773
"15",6,1960,1,1,3,4,3,3,5,2,2,3,7.13329595489607,7.13329595489607,11.9640010843304
"16",7,1929,1,2,2,2,3,1,5,2,2,5,6.74993119378857,6.74993119378857,11.7905572015685
"17",6,1970,1,2,3,4,3,3,5,2,2,5,6.91174730025167,6.91174730025167,11.9117015849276
"18",4,1967,2,2,3,4,2,3,5,2,2,3,7.16703787691222,7.16703787691222,11.4075649493124
"19",5,2004,1,2,4,4,3,3,5,3,2,5,7.01571242048723,7.01571242048723,11.9766594812024
"20",5,1958,1,1,3,4,3,3,5,2,2,3,7.19967834569117,7.19967834569117,11.8422292121128
"21",8,2005,3,3,6,4,3,4,6,3,3,5,7.05444965813294,7.77317368048254,12.6925031124614
"22",7,1930,1,1,1,2,3,1,5,3,2,5,7.01031186730723,7.01031186730723,11.8451027773086
"23",8,2002,2,2,4,4,3,3,5,3,3,5,7.49276030092238,7.49276030092238,12.3458345879053
"24",5,1976,1,2,1,2,3,3,5,2,2,3,6.96602418710611,6.96602418710611,11.7745202026587
"25",5,1968,1,1,3,4,3,3,5,3,2,5,6.96602418710611,6.96602418710611,11.9447078813958
"26",8,2007,2,3,6,4,3,3,5,3,3,5,7.37775890822787,7.37775890822787,12.4541039123522
"27",5,1951,1,2,3,4,3,3,5,3,2,3,6.80239476332431,6.80239476332431,11.8115474774603
"28",8,2007,2,3,6,4,3,3,5,3,3,5,7.44073370738926,7.44073370738926,12.6313403809345
"29",5,1957,1,1,3,4,3,3,5,2,2,3,7.37775890822787,7.37775890822787,12.2428866186529
"30",4,1927,1,1,2,2,3,3,5,1,2,2,6.25382881157547,6.25382881157547,11.1345890242503
"31",4,1920,1,1,1,1,3,4,5,2,2,3,6.47543271670409,7.18311170174328,10.5966347330961
"32",5,1966,1,1,3,4,3,3,5,3,2,4,7.11314210870709,7.11314210870709,11.9140478236443
"33",8,2007,2,2,4,4,3,3,5,3,3,5,7.11801620446533,7.11801620446533,12.1001564199386
"34",5,1959,1,2,3,4,3,3,5,3,2,4,7.43838353004431,7.43838353004431,12.0167264737993
"35",9,2005,2,2,6,4,3,3,5,4,4,5,7.35308192051543,7.35308192051543,12.5335762121686
"36",8,2004,3,3,6,4,3,4,5,3,3,5,7.03174125876313,7.8046592970561,12.6410965558799
"37",5,1994,1,2,4,4,3,3,5,2,2,5,7.00033446027523,7.00033446027523,11.8844890214027
"38",5,1954,1,2,3,4,3,3,5,2,2,4,7.16780918431644,7.16780918431644,11.9381932003746
"39",5,1953,1,1,3,4,3,3,5,3,2,3,6.96318998587024,6.96318998587024,11.5991031612113
"40",4,1955,2,0,2,4,2,3,1,1,2,3,7.04925484125584,7.04925484125584,11.3144745262464
"41",6,1965,2,2,3,4,3,3,5,2,2,5,7.18841273649695,7.18841273649695,11.982929094216
